охра	ɔ x r ɐ
аблефароном	ɐ b lʲ ɪ f ɐ r o n ə m
извиняли	ɪ z vʲ ɪ nʲ æ lʲ ɪ
врезаешься	v rʲ ɪ z a j ɪ ʂ sʲ ə
децентрализовали	d ɛ t͡s ɨ n t r ə lʲ ɪ z ɐ v a lʲ ɪ
испуган	ɪ s p u ɡ ə n
слёзы	s ⁽ʲ ⁾ lʲ ɵ z ɨ
видеозапись	vʲ i dʲ ɪ o z a pʲ ɪ sʲ
стремянку	s t rʲ ɪ mʲ a n k ʊ
втором	f t ɐ r o m
прилечь	p rʲ ɪ lʲ e t͡ɕ
сочинением	s ə t͡ɕ ɪ nʲ e nʲ ɪ j ɪ m
швартуете	ʂ v ɐ r t u j ɪ tʲ e
разговорчиками	r ə z ɡ ɐ v o r t͡ɕ ɪ k ə mʲ ɪ
абсурдиста	ɐ p s ʊ r dʲ i s t ə
леденела	lʲ ɪ dʲ ɪ nʲ e ɫ ə
даннике	d a nʲː ɪ kʲ e
близнецу	b lʲ ɪ zʲ nʲ ɪ t͡s u
опекунами	ɐ pʲ ɪ k ʊ n a mʲ ɪ
связисте	s vʲ ɪ zʲ i sʲ tʲ e
раскисли	r ɐ s kʲ i s ⁽ʲ ⁾ lʲ ɪ
однообразиям	ɐ d n ɐ ɐ b r a zʲ ɪ j ə m
аблактировке	ɐ b ɫ ə k tʲ ɪ r o f kʲ e
переустроит	pʲ ɪ rʲ ɪ ʊ s t r o ɪ t
эмиграциям	ɪ mʲ ɪ ɡ r a t͡s ɨ j ə m
брезгают	b rʲ e z ɡ ə j ʊ t
блютус	b lʲ ʊ t u s
уединилась	ʊ j ɪ dʲ ɪ nʲ i ɫ ə sʲ
кардане	k ɐ r d a nʲ e
летный	lʲ e t n ɨ j
хламы	x ɫ a m ɨ
погрязают	p ə ɡ rʲ ɪ z a j ʊ t
бляшкам	b lʲ a ʂ k ə m
фельдмаршала	fʲ ɪ lʲ d m a r ʂ ə ɫ ə
музыкою	m u z ɨ k ə j ʊ
кругосветный	k r ʊ ɡ ɐ s vʲ e t n ɨ j
посвистывали	p ɐ s vʲ i s t ɨ v ə lʲ ɪ
дубком	d ʊ p k o m
реквизита	rʲ ɪ k vʲ ɪ zʲ i t ə
биотоксичность	bʲ ɪ ə t ɐ k sʲ i t͡ɕ n ə sʲ tʲ
хаживал	x a ʐ ɨ v ə ɫ
заботивши	z ɐ b o tʲ ɪ f ʂ ɨ
защитим	z ə ɕː ɪ tʲ i m
шатах	ʂ a t ə x
изъянами	ɪ z j a n ə mʲ ɪ
экспериментировавший	ɪ k s pʲ ɪ rʲ ɪ mʲ ɪ nʲ tʲ i r ə v ə f ʂ ɨ j
пиздить	pʲ i zʲ dʲ ɪ tʲ
подушечка	p ɐ d u ʂ ɨ t͡ɕ k ə
трансплантируем	t r ə n s p ɫ ɐ nʲ tʲ i r ʊ j ɪ m
попками	p o p k ə mʲ ɪ
культурностей	k ʊ lʲ t u r n ə sʲ tʲ ɪ j
угрях	ʊ ɡ rʲ a x
алгоритмам	ɐ ɫ ɡ ɐ rʲ i t m ə m
зачёркиваем	z ɐ t͡ɕ ɵ r kʲ ɪ v ə j ɪ m
боронивши	b ə r ɐ nʲ i f ʂ ɨ
суммируешь	s ʊ mʲ i r ʊ j ɪ ʂ
гармоники	ɡ ɐ r m o nʲ ɪ kʲ ɪ
двухлетиями	d v ʊ x lʲ e tʲ ɪ j ə mʲ ɪ
сковород	s k ə v ɐ r o t
сжимав	ʐː ɨ m a f
волнении	v ɐ ɫ nʲ e nʲ ɪ ɪ
засвистим	z ə s vʲ ɪ sʲ tʲ i m
заржаветь	z ɐ r ʐ a vʲ ɪ tʲ
чищенный	t͡ɕ i ɕː ɪ nː ɨ j
апограф	ɐ p o ɡ r ə f
сконфузят	s k ɐ n f u zʲ ə t
унтер	u nʲ tʲ ɪ r
матёрый	m ɐ tʲ ɵ r ɨ j
хаяли	x a j ɪ lʲ ɪ
водрузив	v ə d r ʊ zʲ i f
голье	ɡ ɐ lʲ j e
бабосам	b ɐ b o s ə m
отмерит	ɐ t mʲ e rʲ ɪ t
лётов	lʲ ɵ t ə f
прижигайте	p rʲ ɪ ʐ ɨ ɡ a j tʲ e
расправах	r ɐ s p r a v ə x
сосною	s ɐ s n o j ʊ
хмыкнут	x m ɨ k n ʊ t
умаляемся	ʊ m ɐ lʲ æ j ɪ m sʲ ə
антропологии	ɐ n t r ə p ɐ ɫ o ɡʲ ɪ ɪ
заверещи	z ə vʲ ɪ rʲ ɪ ɕː i
аблаутов	ɐ b ɫ a ʊ t ə f
корыту	k ɐ r ɨ t ʊ
вазочками	v a z ə t͡ɕ k ə mʲ ɪ
разговляются	r ə z ɡ ɐ v lʲ æ j ʊ t͡s ə
привяжу	p rʲ ɪ vʲ ɪ ʐ u
отозваться	ɐ t ɐ z v a t͡sː ə
тору	t o r ʊ
увезённый	ʊ vʲ ɪ zʲ ɵ nː ɨ j
заведованием	z ɐ vʲ e d ə v ə nʲ ɪ j ɪ m
казанах	k ə z ɐ n a x
поженить	p ə ʐ ɨ nʲ i tʲ
усопла	ʊ s o p ɫ ə
завешивайте	z ɐ vʲ e ʂ ɨ v ə j tʲ e
извергший	ɪ z vʲ e r k ʂ ɨ j
благородно	b ɫ ə ɡ ɐ r o d n ə
замере	z ɐ mʲ e rʲ e
втаскивали	f t a s kʲ ɪ v ə lʲ ɪ
готовностью	ɡ ɐ t o v n ə sʲ tʲ j ʊ
слушанию	s ɫ u ʂ ə nʲ ɪ j ʊ
остужав	ɐ s t ʊ ʐ a f
повязанный	p ɐ vʲ a z ə nː ɨ j
епитрахилей	j ɪ pʲ ɪ t r ɐ xʲ i lʲ ɪ j
торопыга	t ə r ɐ p ɨ ɡ ə
пагубах	p a ɡ ʊ b ə x
цензурировавший	t͡s ɨ n z ʊ rʲ i r ə v ə f ʂ ɨ j
проникаются	p r ə nʲ ɪ k a j ʊ t͡s ə
лопари	ɫ o p ə rʲ ɪ
разгневаюсь	r ɐ z ɡ nʲ e v ə j ʉ sʲ
наскребавший	n ə s k rʲ ɪ b a f ʂ ɨ j
сделаешься	zʲ dʲ e ɫ ə j ɪ ʂ sʲ ə
вместишь	v mʲ ɪ sʲ tʲ i ʂ
запрыгать	z ɐ p r ɨ ɡ ə tʲ
замахивались	z ɐ m a xʲ ɪ v ə lʲ ɪ sʲ
остригавшись	ɐ s t rʲ ɪ ɡ a f ʂ ɨ sʲ
согласовываетесь	s ə ɡ ɫ ɐ s o v ɨ v ə j ɪ tʲ ɪ sʲ
обливающийся	ɐ b lʲ ɪ v a j ʉ ɕː ɪ j sʲ ə
погрешите	p ə ɡ rʲ ɪ ʂ ɨ tʲ e
брехлом	b rʲ ɪ x ɫ o m
выдачею	v ɨ d ə t͡ɕ ɪ j ʊ
чекать	t͡ɕ ɪ k a tʲ
должные	d o ɫ ʐ n ɨ j e
пихтами	pʲ i x t ə mʲ ɪ
радиопередач	r a dʲ ɪ o pʲ ɪ rʲ ɪ d a t͡ɕ
формализовавший	f ə r m ə lʲ ɪ z ɐ v a f ʂ ɨ j
обеспечиваю	ɐ bʲ ɪ s pʲ e t͡ɕ ɪ v ə j ʊ
смыкал	s m ɨ k a ɫ
стачкой	s t a t͡ɕ k ə j
аватаре	ɐ v ɐ t a rʲ e
заглохло	z ɐ ɡ ɫ o x ɫ ə
ослабнет	ɐ s ɫ a b nʲ ɪ t
селёдки	sʲ ɪ lʲ ɵ t kʲ ɪ
кровавленный	k r ɐ v a v lʲ ɪ nː ɨ j
священстве	s vʲ ɪ ɕː e n s t vʲ e
хиты	xʲ ɪ t ɨ
привставать	p rʲ ɪ f s t ɐ v a tʲ
показах	p ɐ k a z ə x
завязло	z ɐ vʲ a z ɫ ə
атавизмов	ɐ t ɐ vʲ i z m ə f
прихватизацией	p rʲ ɪ x v ə tʲ ɪ z a t͡s ɨ j ɪ j
ассистенте	ɐ sʲ ɪ sʲ tʲ e nʲ tʲ e
парейдолиею	p ə rʲ ɪ j d ɐ lʲ i j ɪ j ʊ
стечению	sʲ tʲ ɪ t͡ɕ e nʲ ɪ j ʊ
англосфере	a n ɡ ɫ ɐ s fʲ e rʲ e
разразились	r ə z r ɐ zʲ i lʲ ɪ sʲ
успокаиваем	ʊ s p ɐ k a ɪ v ə j ɪ m
завалитесь	z ɐ v a lʲ ɪ tʲ ɪ sʲ
угрожающий	ʊ ɡ r ɐ ʐ a j ʉ ɕː ɪ j
застревать	z ə s t rʲ ɪ v a tʲ
объявлений	ɐ b j ɪ v lʲ e nʲ ɪ j
слижите	s ⁽ʲ ⁾ lʲ ɪ ʐ ɨ tʲ e
шепнув	ʂ ɨ p n u f
плантациях	p ɫ ɐ n t a t͡s ɨ j ə x
выговорившись	v ɨ ɡ ə v ə rʲ ɪ f ʂ ɨ sʲ
утончи	ʊ t ɐ nʲ t͡ɕ i
сровняйте	s r ɐ v nʲ æ j tʲ e
эксцессов	ɪ k s t͡s ɛ s ə f
уделах	ʊ dʲ e ɫ ə x
почисть	p ɐ t͡ɕ i sʲ tʲ
мудоёба	m ʊ d ɐ j ɵ b ə
санитары	s ə nʲ ɪ t a r ɨ
синхронизаций	sʲ ɪ n x r ə nʲ ɪ z a t͡s ɨ j
заревом	z a rʲ ɪ v ə m
костюмчик	k ɐ sʲ tʲ u m t͡ɕ ɪ k
каскадам	k ɐ s k a d ə m
учредительный	ʊ t͡ɕ rʲ ɪ dʲ i tʲ ɪ lʲ n ɨ j
выращивание	v ɨ r a ɕː ɪ v ə nʲ ɪ j e
задаюсь	z ə d ɐ j ʉ sʲ
пружинит	p r ʊ ʐ ɨ nʲ ɪ t
закалывала	z ɐ k a ɫ ɨ v ə ɫ ə
удочерениях	ʊ d ə t͡ɕ ɪ rʲ e nʲ ɪ j ə x
обозначься	ɐ b ɐ z n a t͡ɕ sʲ ə
откалибровывавшую	ɐ t k ə lʲ ɪ b r o v ɨ v ə f ʂ ʊ j ʊ
изъехало	ɪ z j e x ə ɫ ə
мочевина	m ə t͡ɕ ɪ vʲ i n ə
дорожавши	d ə r ɐ ʐ a f ʂ ɨ
стихаем	sʲ tʲ ɪ x a j ɪ m
ойкнувший	o j k n ʊ f ʂ ɨ j
азиками	a zʲ ɪ k ə mʲ ɪ
чувствованием	t͡ɕ u s t v ə v ə nʲ ɪ j ɪ m
неявкой	nʲ ɪ j a f k ə j
потасовками	p ə t ɐ s o f k ə mʲ ɪ
опробованный	ɐ p r o b ə v ə nː ɨ j
соревнуйтесь	s ə rʲ ɪ v n u j tʲ ɪ sʲ
запираюсь	z ə pʲ ɪ r a j ʉ sʲ
должку	d ɐ ɫ ʂ k u
заработало	z ə r ɐ b o t ə ɫ ə
золотистым	z ə ɫ ɐ tʲ i s t ɨ m
снадобьями	s n a d ə b ⁽ʲ ⁾ j ə mʲ ɪ
предпочтению	p rʲ ɪ t p ɐ t͡ɕ tʲ e nʲ ɪ j ʊ
маскируетесь	m ə s kʲ ɪ r u j ɪ tʲ ɪ sʲ
растворителя	r ə s t v ɐ rʲ i tʲ ɪ lʲ ə
чучой	t͡ɕ ʉ t͡ɕ ɵ j
чунями	t͡ɕ ʉ nʲ ə mʲ ɪ
лязгнуло	lʲ a z ɡ n ʊ ɫ ə
выправлять	v ɨ p r ɐ v lʲ æ tʲ
картинно	k ɐ r tʲ i nː ə
четвёртый	t͡ɕ ɪ t vʲ ɵ r t ɨ j
адекватностях	ɐ d ɨ k v a t n ə sʲ tʲ ə x
красно	k r a s n ə
восстанут	v ɐ sː t a n ʊ t
задремлют	z ɐ d rʲ e m lʲ ʊ t
изящный	ɪ zʲ æ ɕː n ɨ j
свалками	s v a ɫ k ə mʲ ɪ
вонзаешь	v ɐ n z a j ɪ ʂ
сгрудись	z ɡ r ʊ dʲ i sʲ
искупления	ɪ s k ʊ p lʲ e nʲ ɪ j ə
превозмогаешь	p rʲ ɪ v ə z m ɐ ɡ a j ɪ ʂ
выплативший	v ɨ p ɫ ə tʲ ɪ f ʂ ɨ j
колеблющий	k ɐ lʲ e b lʲ ʉ ɕː ɪ j
командиров	k ə m ɐ nʲ dʲ i r ə f
ростовой	r ə s t ɐ v o j
нынешний	n ɨ nʲ ɪ ʂ nʲ ɪ j
дымился	d ɨ mʲ i ɫ s ⁽ʲ ⁾ ə
хуёвина	x ʊ j ɵ vʲ ɪ n ə
продержим	p r ɐ dʲ e r ʐ ɨ m
акойт	ɐ k o j t
наркомтяжпром	n ə r k ə m tʲ ɪ ʂ p r o m
приделать	p rʲ ɪ dʲ e ɫ ə tʲ
секунды	sʲ ɪ k u n d ɨ
холостяке	x ə ɫ ə sʲ tʲ ɪ kʲ e
явственно	j a f s t vʲ ɪ nː ə
говоруне	ɡ ə v ə r ʊ nʲ e
высохнешь	v ɨ s ə x nʲ ɪ ʂ
мыслятся	m ɨ s ⁽ʲ ⁾ lʲ ə t͡s ə
правобережный	p r a v ə bʲ ɪ rʲ e ʐ n ɨ j
наладимся	n ɐ ɫ a dʲ ɪ m sʲ ə
хранило	x r ɐ nʲ i ɫ ə
переливало	pʲ ɪ rʲ ɪ lʲ ɪ v a ɫ ə
отеческий	ɐ tʲ e t͡ɕ ɪ s kʲ ɪ j
перекладывайте	pʲ ɪ rʲ ɪ k ɫ a d ɨ v ə j tʲ e
администрациях	ɐ d mʲ ɪ nʲ ɪ s t r a t͡s ɨ j ə x
ускоришься	ʊ s k o rʲ ɪ ʂ sʲ ə
обучавшийся	ɐ b ʊ t͡ɕ a f ʂ ɨ j sʲ ə
изменяло	ɪ z mʲ ɪ nʲ a ɫ ə
вскипали	f s kʲ ɪ p a lʲ ɪ
ремешкам	rʲ ɪ mʲ ɪ ʂ k a m
охнувший	o x n ʊ f ʂ ɨ j
копило	k ɐ pʲ i ɫ ə
прожигаем	p r ə ʐ ɨ ɡ a j ɪ m
террористе	t ɨ r ɐ rʲ i sʲ tʲ e
заискивали	z ɐ i s kʲ ɪ v ə lʲ ɪ
тускневши	t ʊ s k nʲ e f ʂ ɨ
возведши	v ɐ z vʲ e t͡ʂ ʂ ɨ
вертелось	vʲ ɪ r tʲ e ɫ ə sʲ
отягощавши	ɐ tʲ ɪ ɡ ɐ ɕː a f ʂ ɨ
сужений	s ʊ ʐ ɛ nʲ ɪ j
промахивался	p r ɐ m a xʲ ɪ v ə ɫ s ⁽ʲ ⁾ ə
затешешь	z ɐ tʲ e ʂ ɨ ʂ
механизатор	mʲ ɪ x ə nʲ ɪ z a t ə r
парадигмам	p ə r ɐ dʲ i ɡ m ə m
оттиски	o tʲː ɪ s kʲ ɪ
нахлынувший	n ɐ x ɫ ɨ n ʊ f ʂ ɨ j
скрепляя	s k rʲ ɪ p lʲ æ j ə
повысите	p ɐ v ɨ sʲ ɪ tʲ e
пойменный	p o j mʲ ɪ nː ɨ j
претворить	p rʲ ɪ t v ɐ rʲ i tʲ
заменялись	z ə mʲ ɪ nʲ æ lʲ ɪ sʲ
неумерен	nʲ ɪ ʊ mʲ e rʲ ɪ n
паприках	p a p rʲ ɪ k ə x
растолковывать	r ə s t ɐ ɫ k o v ɨ v ə tʲ
одинока	ɐ dʲ ɪ n o k ə
потру	p ɐ t r u
доняло	d o nʲ ɪ ɫ ə
эйсом	ɛ j s ə m
завершало	z ə vʲ ɪ r ʂ a ɫ ə
твердеющий	t vʲ ɪ r dʲ e j ʉ ɕː ɪ j
сертификата	sʲ ɪ r tʲ ɪ fʲ ɪ k a t ə
проигрывал	p r ɐ i ɡ r ɨ v ə ɫ
пропитывав	p r ɐ pʲ i t ɨ v ə f
прислужили	p rʲ ɪ s ɫ ʊ ʐ ɨ lʲ ɪ
оцепеневший	ɐ t͡s ɨ pʲ ɪ nʲ e f ʂ ɨ j
принуждает	p rʲ ɪ n ʊ ʐ d a j ɪ t
стогами	s t ɐ ɡ a mʲ ɪ
тойтерьер	t ə j t ɨ rʲ j e r
подножьям	p ɐ d n o ʐ j ə m
запугав	z ə p ʊ ɡ a f
оттаскивай	ɐ tː a s kʲ ɪ v ə j
отваживаемся	ɐ t v a ʐ ɨ v ə j ɪ m sʲ ə
глумлениях	ɡ ɫ ʊ m lʲ e nʲ ɪ j ə x
забил	z ɐ bʲ i ɫ
пастеризациями	p ə s t ɨ rʲ ɪ z a t͡s ɨ j ə mʲ ɪ
зелёном	zʲ ɪ lʲ ɵ n ə m
нелепицею	nʲ ɪ lʲ e pʲ ɪ t͡s ɨ j ʊ
льдинок	lʲ dʲ i n ə k
забрызжите	z ɐ b r ɨ ʐː ɨ tʲ e
погреетесь	p ɐ ɡ rʲ e j ɪ tʲ ɪ sʲ
загрязнив	z ə ɡ rʲ ɪ zʲ nʲ i f
утопаем	ʊ t o p ə j ɪ m
окружностей	ɐ k r u ʐ n ə sʲ tʲ ɪ j
кинофестивалям	kʲ ɪ n ə fʲ ɪ sʲ tʲ ɪ v a lʲ ə m
подделывали	p ɐ dʲː e ɫ ɨ v ə lʲ ɪ
прожидях	p r o ʐ ɨ dʲ ə x
вскидывалась	f s kʲ i d ɨ v ə ɫ ə sʲ
сигналите	sʲ ɪ ɡ n a lʲ ɪ tʲ e
истопим	ɪ s t o pʲ ɪ m
налегке	n ə lʲ ɪ xʲ kʲ e
распевавший	r ə s pʲ ɪ v a f ʂ ɨ j
мирив	mʲ ɪ rʲ i f
обуздывают	ɐ b u z d ɨ v ə j ʊ t
пропитайтесь	p r ə pʲ ɪ t a j tʲ ɪ sʲ
поджидала	p ə d͡ʐ ʐ ɨ d a ɫ ə
приправе	p rʲ ɪ p r a vʲ e
толкнёшь	t ɐ ɫ k nʲ ɵ ʂ
транспортам	t r a n s p ə r t ə m
рдев	r dʲ e f
врачах	v r ɐ t͡ɕ a x
зверюшки	z vʲ ɪ rʲ u ʂ kʲ ɪ
формантой	f ɐ r m a n t ə j
причитают	p rʲ ɪ t͡ɕ ɪ t a j ʊ t
декларировав	dʲ ɪ k ɫ ɐ rʲ i r ə v ə f
тропинок	t r ɐ pʲ i n ə k
добивавшийся	d ə bʲ ɪ v a f ʂ ɨ j sʲ ə
постукивающий	p ɐ s t u kʲ ɪ v ə j ʉ ɕː ɪ j
взведите	v z vʲ ɪ dʲ i tʲ e
лженаука	ɫ ʐ ɨ n ɐ u k ə
выплачивала	v ɨ p ɫ a t͡ɕ ɪ v ə ɫ ə
перельются	pʲ ɪ rʲ ɪ lʲ j u t͡sː ə
противоположу	p r o tʲ ɪ v ə p ə ɫ ɐ ʐ u
урону	ʊ r o n ʊ
негодованию	nʲ ɪ ɡ ə d ɐ v a nʲ ɪ j ʊ
поэтика	p ɐ ɛ tʲ ɪ k ə
проводкой	p r ɐ v o t k ə j
обстригаемый	ɐ p s t rʲ ɪ ɡ a j ɪ m ɨ j
уговаривая	ʊ ɡ ɐ v a rʲ ɪ v ə j ə
исследовательницам	ɪ s ⁽ʲ ⁾ː lʲ e d ə v ə tʲ ɪ lʲ nʲ ɪ t͡s ə m
еловый	j ɪ ɫ o v ɨ j
майонезы	m ə j ɪ n ɛ z ɨ
фальсификациею	f ə lʲ sʲ ɪ fʲ ɪ k a t͡s ɨ j ɪ j ʊ
размягчаемый	r ə z mʲ ɪ x t͡ɕ æ j ɪ m ɨ j
настань	n ɐ s t a nʲ
пристёгивай	p rʲ ɪ sʲ tʲ ɵ ɡʲ ɪ v ə j
коллективизацией	k ə lʲ ɪ k tʲ ɪ vʲ ɪ z a t͡s ɨ j ɪ j
ринусь	rʲ i n ʊ sʲ
забывался	z ə b ɨ v a ɫ s ⁽ʲ ⁾ ə
духовниках	d ʊ x ə v nʲ ɪ k a x
образчиком	ɐ b r a ɕː ɪ k ə m
конопатят	k ə n ɐ p a tʲ ə t
акцентам	ɐ k t͡s ɛ n t ə m
маркиза	m ɐ r kʲ i z ə
покинут	p ɐ kʲ i n ʊ t
полуподвала	p o ɫ ʊ p ɐ d v a ɫ ə
изводить	ɪ z v ɐ dʲ i tʲ
абаданце	ɐ b ɐ d a n t͡s ɨ
отдаляемый	ɐ dː ɐ lʲ æ j ɪ m ɨ j
опушавшись	ɐ p ʊ ʂ a f ʂ ɨ sʲ
маневренностями	m ɐ nʲ e v rʲ ɪ nː ə sʲ tʲ ə mʲ ɪ
вариантах	v ə rʲ ɪ a n t ə x
патронажах	p ə t r ɐ n a ʐ ə x
допустимость	d ə p ʊ sʲ tʲ i m ə sʲ tʲ
восхождений	v ə s x ɐ ʐ dʲ e nʲ ɪ j
бантов	b a n t ə f
притворись	p rʲ ɪ t v ɐ rʲ i sʲ
восточный	v ɐ s t o t͡ɕ n ɨ j
соизволив	s ə ɪ z v o lʲ ɪ f
изольются	ɪ z ɐ lʲ j u t͡sː ə
доводящий	d ə v ɐ dʲ æ ɕː ɪ j
проверив	p r ɐ vʲ e rʲ ɪ f
промышляло	p r ə m ɨ ʂ lʲ a ɫ ə
зацепитесь	z ɐ t͡s ɛ pʲ ɪ tʲ ɪ sʲ
маркировками	m ə r kʲ ɪ r o f k ə mʲ ɪ
малютки	m ɐ lʲ u t kʲ ɪ
проткнуло	p r ɐ t k n u ɫ ə
уволю	ʊ v o lʲ ʊ
искорёжило	ɪ s k ɐ rʲ ɵ ʐ ɨ ɫ ə
фотокарточку	f ə t ɐ k a r t ə t͡ɕ k ʊ
волочилось	v ə ɫ ɐ t͡ɕ i ɫ ə sʲ
расчёсывалась	r ɐ ɕ t͡ɕ ɵ s ɨ v ə ɫ ə sʲ
выучиваясь	v ɨ u t͡ɕ ɪ v ə j ɪ sʲ
обводивши	ɐ b v ɐ dʲ i f ʂ ɨ
своровавший	s v ə r ɐ v a f ʂ ɨ j
осматривавшийся	ɐ s m a t rʲ ɪ v ə f ʂ ɨ j sʲ ə
отповедям	o t p ə vʲ ɪ dʲ ə m
алкаете	ɐ ɫ k a j ɪ tʲ e
толка	t o ɫ k ə
лапали	ɫ a p ə lʲ ɪ
болтали	b ɐ ɫ t a lʲ ɪ
подводники	p ɐ d v o dʲ nʲ ɪ kʲ ɪ
главенствовали	ɡ ɫ ɐ vʲ e n s t v ə v ə lʲ ɪ
ола	o ɫ ə
глушил	ɡ ɫ ʊ ʂ ɨ ɫ
замарывай	z ɐ m a r ɨ v ə j
бутилируют	b ʊ tʲ ɪ lʲ i r ʊ j ʊ t
сталкиваюсь	s t a ɫ kʲ ɪ v ə j ʉ sʲ
сомнёмся	s ɐ m nʲ ɵ m sʲ ə
доделаем	d ɐ dʲ e ɫ ə j ɪ m
представлений	p rʲ ɪ t͡s t ɐ v lʲ e nʲ ɪ j
модернизированный	m ə d ɨ r nʲ ɪ zʲ i r ə v ə nː ɨ j
переливает	pʲ ɪ rʲ ɪ lʲ ɪ v a j ɪ t
кататься	k ɐ t a t͡sː ə
жидкостями	ʐ ɨ t k ə sʲ tʲ ə mʲ ɪ
хищничестве	xʲ i ɕː nʲ ɪ t͡ɕ ɪ s t vʲ e
выставляясь	v ɨ s t ɐ v lʲ æ j ɪ sʲ
спортивны	s p ɐ r tʲ i v n ɨ
сверхприбылью	s vʲ e r x p rʲ i b ɨ lʲ j ʊ
закипим	z ə kʲ ɪ pʲ i m
изготовлением	ɪ z ɡ ə t ɐ v lʲ e nʲ ɪ j ɪ m
богословы	b ə ɡ ɐ s ɫ o v ɨ
заговаривайтесь	z ə ɡ ɐ v a rʲ ɪ v ə j tʲ ɪ sʲ
автоматонах	ɐ f t ə m ɐ t o n ə x
осмысляем	ɐ s m ɨ s ⁽ʲ ⁾ lʲ æ j ɪ m
призываешь	p rʲ ɪ z ɨ v a j ɪ ʂ
негодяя	nʲ ɪ ɡ ɐ dʲ æ j ə
померещишься	p ə mʲ ɪ rʲ e ɕː ɪ ʂ sʲ ə
дотаскав	d ə t ɐ s k a f
залепляю	z ə lʲ ɪ p lʲ æ j ʊ
настучав	n ə s t ʊ t͡ɕ a f
наклонности	n ɐ k ɫ o nː ə sʲ tʲ ɪ
булавкой	b ʊ ɫ a f k ə j
дознании	d ɐ z n a nʲ ɪ ɪ
шумов	ʂ u m ə f
вскрику	f s k rʲ i k ʊ
договариваются	d ə ɡ ɐ v a rʲ ɪ v ə j ʊ t͡s ə
сетованию	sʲ e t ə v ə nʲ ɪ j ʊ
впоследствии	f p ɐ s ⁽ʲ ⁾ lʲ e t͡s t vʲ ɪ ɪ
табу	t ɐ b u
ватка	v a t k ə
буккеры	b u kʲ ɪ r ɨ
ахи	a xʲ ɪ
дураков	d ʊ r ɐ k o f
захлопывайся	z ɐ x ɫ o p ɨ v ə j sʲ ə
ручейник	r ʊ t͡ɕ e j nʲ ɪ k
рубки	r u p kʲ ɪ
смудрит	s m ʊ d rʲ i t
шевельнётесь	ʂ ɨ vʲ ɪ lʲ nʲ ɵ tʲ ɪ sʲ
безмолвиями	bʲ ɪ z m o ɫ vʲ ɪ j ə mʲ ɪ
ломись	ɫ ɐ mʲ i sʲ
абгомотопии	ɐ b ɡ ə m ɐ t o pʲ ɪ ɪ
присчитывай	p rʲ ɪ ɕː i t ɨ v ə j
раздельно	r ɐ zʲ dʲ e lʲ n ə
подставила	p ɐ t͡s s t a vʲ ɪ ɫ ə
сгрудьтесь	z ɡ r u tʲː ɪ sʲ
толковании	t ə ɫ k ɐ v a nʲ ɪ ɪ
крепчают	k rʲ ɪ p t͡ɕ æ j ʊ t
заимеет	z ə ɪ mʲ e j ɪ t
двуперстия	d v ʊ pʲ e r s ⁽ʲ ⁾ tʲ ɪ j ə
покроя	p ɐ k r o j ə
гранит	ɡ r ɐ nʲ i t
театре	tʲ ɪ a t ə rʲ e
разочтусь	r ə z ɐ t͡ɕ t u sʲ
защищавшийся	z ə ɕː ɪ ɕː a f ʂ ɨ j sʲ ə
оговориться	ɐ ɡ ə v ɐ rʲ i t͡sː ə
пробоя	p r ɐ b o j ə
выкраиваются	v ɨ k r a ɪ v ə j ʊ t͡s ə
тулии	t u lʲ ɪ ɪ
аллеях	ɐ lʲ e j ə x
размежевавши	r ə z mʲ ɪ ʐ ɨ v a f ʂ ɨ
сушатся	s u ʂ ə t͡s ə
камышниц	k ɐ m ɨ ʂ nʲ ɪ t͡s
вальцующий	v ɐ lʲ t͡s u j ʉ ɕː ɪ j
зажил	z a ʐ ɨ ɫ
гнобите	ɡ n ɐ bʲ i tʲ e
вуй	v u j
старое	s t a r ə j ə
удавливают	ʊ d a v lʲ ɪ v ə j ʊ t
повидать	p ə vʲ ɪ d a tʲ
вырыв	v ɨ r ɨ f
дрессировок	d rʲ ɪ sʲ ɪ r o v ə k
гостю	ɡ o sʲ tʲ ʊ
варьируют	v ɐ rʲ j i r ʊ j ʊ t
ревел	rʲ ɪ vʲ e ɫ
подослало	p ə d ɐ s ɫ a ɫ ə
вгибал	v ɡʲ ɪ b a ɫ
берегами	bʲ ɪ rʲ ɪ ɡ a mʲ ɪ
обатуром	ɐ b a t ʊ r ə m
всевышним	f sʲ ɪ v ɨ ʂ nʲ ɪ m
нанизывает	n ɐ nʲ i z ɨ v ə j ɪ t
стилисту	sʲ tʲ ɪ lʲ i s t ʊ
оросил	ɐ r ɐ sʲ i ɫ
исполкому	ɪ s p ɐ ɫ k o m ʊ
благодарностью	b ɫ ə ɡ ɐ d a r n ə sʲ tʲ j ʊ
пястях	pʲ æ sʲ tʲ ə x
лишках	lʲ i ʂ k ə x
колосьям	k ɐ ɫ o sʲ j ə m
семиугольника	sʲ ɪ mʲ ɪ ʊ ɡ o lʲ nʲ ɪ k ə
мегаэрги	mʲ ɪ ɡ ɐ ɛ r ɡʲ ɪ
молвила	m o ɫ vʲ ɪ ɫ ə
айрум	ɐ j r u m
думаем	d u m ə j ɪ m
язвивши	j ɪ z vʲ i f ʂ ɨ
силиконы	sʲ ɪ lʲ ɪ k o n ɨ
гирей	ɡʲ i rʲ ɪ j
погону	p ɐ ɡ o n ʊ
