देवनागरी	d̪eʋnɑɡɑri
तिम्रो	t i m r o
बिक्	b i k
पुरेत	p u r e t
कसरी	k ʌ s ʌ r i
फ्याल्ल	pʰ j ɑː l l
बिँगो	b i ŋ g o
आत्मसन्तोष	ɑː t m ʌ s ʌ n t o ʃ
पेटिका	p e ʈ i k ɑː
थर्क	tʰ ʌ r k
अमीर	ʌ m iː r
उकुसमुकुस	u k u s ʌ m u k u s
विराजमान	v i r ɑː j m ɑː n
दर्द	d ʌ r d
रात्रि	r ɑː t r i
आज	ɑː j
चयनशील	t͡ʃ ə j ə n ə ʃ iː l
हन्न	ɦ ə nː ə
पर्वाह	p ə r w ɑː ɦ
सोझि	s o d͡ʒ ɦ i
कम्युनिष्‍ट	k ə m j uː n i ʃ ʈ
अद्यतन	ə d j ə t ə n
गम्मागम्मी	ɡ ə m m ɑː ɡ ə m m iː
टसक्क	ʈ ə s ə kː
आरोहण	ɑː r o ɦ ə ɳ
झेलाहा	d͡ʒ ʱ eː l ɑː ɦ ɑː
झाँगकझुँगल	d͡ʒ ʱ ɑ̃ː ɡ ə k d͡ʒ ʱ ũː ɡ ə l
लटपट	l ə ʈ p ə ʈ
ह्वाप्प	ɦ w ɑː pː
टोपल्	ʈ oː p ə l
परिच्छेद	p ə r i t͡ʃʰ ʰ eː d
परिमिति	p ə r i m i t i
इकोसिस्टम	iː k oː s i s ʈ ə m
हे	ɦ eː
भागा	bʱ ɑː ɡ ɑː
सेवक	s eː w ə k
ढाल्	ɖʱ ɑː l
गर्भपाती	ɡ ə r bʱ p ɑː t iː
अपरेटर	ə p ə r eː ʈ ə r
चाटुकार	t͡ʃ ɑː ʈ uː k ɑː r
कम्मर	k ə m m ə r
अध्ययन	ə dʱ j ə j ə n
बालाजु	b ɑː l ɑː d͡ʒ u
पाडरी	p ɑː ɖ r iː
प्वाइन्ट	p w ɑː i n ʈ
गव्य	ɡ ə w j ə
कुँवर	k ũː w ə r
चिप्ल	t͡ʃ i p l ə
उगाउ	u ɡ ɑː u
अनुन्मुक्त	ə n u n m u k t ə
खुच्चिङ	kʰ u t͡ʃ t͡ʃ i ŋ
रोकाया	r o k ɑː j ɑː
आधाररेखा	ɑː dʱ ɑː r ə r eː kʰ ɑː
भित्ति	bʱ i t t i
झिलझिल	d͡ʒ ʱ i l d͡ʒ ʱ i l
काँकडभिट्टा	k ɑ̃ː k ə ɖ bʱ i ʈ ʈ ɑː
अब्रह्मचर्य	ə b r ə ɦ m ə t͡ʃ ə r j ə
खाका	kʰ ɑː k ɑː
भ्यार्र	bʱ j ɑː r r ə
कुचेष्टा	k u t͡ʃ eː ʂ ʈ ɑː
चहार	t͡ʃ ə ɦ ɑː r
छिनुवा	t͡ʃʰ i n u w ɑː
सड्क	s ə ɖ k ə
धुनी	dʱ u n iː
कट्टु	k ə ʈ ʈ u
झेली	d͡ʒ ʱ eː l i
