'day	ˈd a j
kudkurin	k u d k u ˈɾ i n
kudkurin	ˌk u d ˈk u ɾ i n
kudlit	k u d ˈl i t
kudlong	k u d ˈl o ŋ
kudyapi	k u d j a ˈp i ʔ
kugita	k u ˈɡ i t a ʔ
kugon	ˈk u ɡ o n
kugon	k u ˈɡ o n
kuha	ˈk u h a
kuha	ˈk u h a ʔ
kuha	k u ˈh a
kuhila	k u h i ˈl a ʔ
kuhila	k u ˈh i l a ʔ
kuhol	k u ˈh o l
kukis	ˈk u k i s
kuko	k u ˈk o
kuko	ˈk u k o ʔ
kukote	k u ˈk o t e
kukudkurin	k u k u d k u ˈɾ i n
kukuha	k u ˈk u h a
kukuha	k u ˈk u h a ʔ
kukunan	k u ˈk u n a n
kukunan	k u k u ˈn a n
kukupas	k u ˈk u p a s
kula	k u ˈl a
kula	ˈk u l a
kulabo	k u l a ˈb o ʔ
kulabo	k u ˈl a b o ʔ
kulago	k u l a ˈɡ o
kulakling	k u l a k ˈl i ŋ
kulaknit	k u l a k ˈn i t
kulalaying	k u l a l a ˈj i ŋ
Kulalaying	k u l a l a ˈj i ŋ
kulam	ˈk u l a m
kulambo	k u l a m ˈb o ʔ
kulani	k u ˈl a n i ʔ
kulantro	k u ˈl a n t ɾ o
kulantro	k u l a n ˈt ɾ o
kulang	ˈk u l a ŋ
kulangi	k u ˈl a ŋ i ʔ
kulangot	k u ˈl a ŋ o t
kulap	ˈk u l a p
kulapnit	k u l a p ˈn i t
kulas	ˈk u l a s
kulas	k u ˈl a s
Kulas	k u ˈl a s
kulasi	k u ˈl a s i
kulasi	k u ˈl a s e
kulasim	k u l a ˈs i m
kulasisi	k u l a ˈs i s i ʔ
kulasisi	k u l a ˈs i s i
kulat	ˈk u l a t
kulata	k u ˈl a t a
kulata	k u ˈl a t a ʔ
kulatahin	k u l a ˈt a h i n
kulatain	k u l a ˈt a ʔ i n
kulaw	k u ˈl a w
kulawin	k u l a ˈw i n
kulawo	k u ˈl a w o ʔ
kulay	ˈk u l a j
kulayin	k u l a ˈj i n
kulayin	ˌk u ˈl a j i n
kulaylawas	k u l a j ˈl a w a s
kulayo	k u ˈl a j o
kulayputol	k u l a j ˈp u t o l
kulaysukat	k u l a j ˈs u k a t
kulelat	k u ˈl e l a t
kulig	k u ˈl i ɡ
kuliglig	k u l i ɡ ˈl i ɡ
kulilipaw	k u l i ˈl i p a w
kulilis	k u ˈl i l i s
kulimba	k u l i m ˈb a ʔ
kulimlim	k u l i m ˈl i m
kulinarya	k u l i ˈn a ɾ j a
kulintang	k u l i n ˈt a ŋ
kulisap	k u ˈl i s a p
kulisaw	k u ˈl i s a w
kulit	k u ˈl i t
kulit	ˈk u l i t
kulit	ˈk u l i t
kulit	ˈk u l i t
kulit	k u ˈl i t
kulit	ˈk u l i t
kulit	k u ˈl i t
kulit	k u ˈl i t
kuliti	k u ˈl i t i ʔ
kulitis	k u ˈl i t i s
kulo	k u ˈl o ʔ
kulo	ˈk u l o
kulo	k u ˈl o
kulob	k u ˈl o b
kulob	ˈk u l o b
kulog	k u ˈl o ɡ
kulong	k u ˈl o ŋ
kulos	k u ˈl o s
kulot	ˈk u l o t
kulpuralis	k u l p u ˈɾ a l i s
kulto	ˈk u l t o
kulto	k u l ˈt o
kultura	k u l ˈt u ɾ a
kulubong	k u l u ˈb o ŋ
kulubot	k u l u ˈb o t
kulugo	k u l u ˈɡ o
kulunoy	k u l u ˈn o j
kulungan	ˌk u ˈl u ŋ a n
kulyawan	k u l ˈj a w a n
kumabig	k u ˈm a b i ɡ
kumagat	k u m a ˈɡ a t
kumahog	k u m a ˈh o ɡ
kumain	k u ˈm a ʔ i n
kumakabig	k u m a ˈk a b i ɡ
kumakain	k u m a ˈk a ʔ i n
kumalat	k u ˈm a l a t
kumampi	k u m a m ˈp i
kumanan	k u ˈm a n a n
kumander	k u ˈm a n d e ɾ
kumanta	k u m a n ˈt a
kumapal	k u m a ˈp a l
kumapit	k u ˈm a p i t
kumare	k u ˈm a ɾ e
kumaripas	k u m a ˈɾ i p a s
kumayod	k u ˈm a j o d
kumbaga	k u m b a ˈɡ a
kumbensiyon	k u m b e n s i ˈo n
kumbensiyonal	k u m b e n s j o ˈn a l
kumbento	k u m ˈb e n t o
kumbida	k u m b i ˈd a
kumbinsi	k u m b i n ˈs i
kumbinsido	k u m b i n ˈs i d o
kumbinsihin	k u m b i n s i ˈh i n
kumbulsiyon	k u m b u l s i ˈo n
kumidlat	k u m i d ˈl a t
Kumiko	k u ˈm i k o
kuminoy	k u m i ˈn o j
kumintab	k u m i n ˈt a b
kumintang	k u m i n ˈt a ŋ
Kumintang	k u m i n ˈt a ŋ
kumislot	k u m i s ˈl o t
kumitil	k u m i ˈt i l
kumot	ˈk u m o t
kumpare	k u m ˈp a ɾ e
kumpas	k u m ˈp a s
kumpay	k u m ˈp a j
kumpederasyon	k u m p e d e ɾ a s ˈj o n
kumpensasyon	k u m p e n s a s ˈj o n
kumpidensiyal	k u m p i d e n s i ˈa l
kumpidensyal	k u m p i d e n s ˈj a l
kumpil	k u m ˈp i l
kumpilma	k u m p i l ˈm a
kumpirma	k u m p i ɾ ˈm a
kumpirmado	k u m p i ɾ ˈm a d o
kumpirmasyon	k u m p i ɾ m a s ˈj o n
kumpisal	k u m p i ˈs a l
kumpiska	k u m p i s ˈk a
kumpiyansa	k u m p i ˈa n s a
kumporme	k u m ˈp o ɾ m e
kumprontasyon	k u m p ɾ o n t a s ˈj o n
kumpuni	k u m p u ˈn i
kumpurmi	k u m ˈp u ɾ m i
kumpyansa	k u m ˈp j a n s a
kumuha	k u ˈm u h a
kumuha	k u ˈm u h a ʔ
kumukuha	k u m u ˈk u h a
kumukuha	k u m u ˈk u h a ʔ
kumukupas	k u m u ˈk u p a s
kumulang	k u ˈm u l a ŋ
kumulimlim	k u m u l i m ˈl i m
kumulo	k u m u ˈl o ʔ
kumulog	k u m u ˈl o ɡ
kumunoy	k u m u ˈn o j
kumupas	k u ˈm u p a s
kumurason	k u m u ɾ a ˈs o n
kumusta	k u m u s ˈt a
kumutan	k u ˈm u t a n
kumuyakoy	k u m u ˈj a k o j
kunan	ˈk u n a n
kunat	ˈk u n a t
kundangan	k u n ˈd a ŋ a n
kundena	k u n d e ˈn a
kundi	k u n ˈd i ʔ
kundi	ˈk u n d i ʔ
kundiman	k u n ˈd i m a n
kundol	k u n ˈd o l
kuneho	k u ˈn e h o
kuneksyon	k u n e k ˈs j o n
Kuniko	k u ˈn i k o
kunin	ˈk u n i n
kuno	k u ˈn o
kunsi	k u n ˈs i ʔ
kunsiderasyon	k u n s i d e ɾ a s ˈj o n
kunsinti	k u n s i n ˈt i
kunsintidor	k u n s i n t i ˈd o ɾ
kunsintidora	k u n s i n t i ˈd o ɾ a
kunsintihin	k u n s i n t i ˈh i n
kunsumido	k u n s u ˈm i d o
kunsumisyon	k u n s u m i s ˈj o n
kunsumo	k u n ˈs u m o
kuntador	k u n t a ˈd o ɾ
kuntento	k u n ˈt e n t o
kuntsaba	k u n ˈt͡ʃ a b a
kuntsabahan	k u n t͡ʃ a b a ˈh a n
kunwa	k u n ˈw a ʔ
kunwari	k u n ˈw a ɾ i ʔ
kunwari	k u n ˈw a ɾ e ʔ
kunyari	k u n ˈj a ɾ i ʔ
kunyari	k u n ˈj a ɾ e ʔ
kung	k u ŋ
kungyari	k u ŋ ˈj a ɾ i ʔ
kungyari	k u ŋ ˈj a ɾ e ʔ
kupad	ˈk u p a d
kupal	ˈk u p a l
kupang	ˈk u p a ŋ
kupas	k u ˈp a s
kupas	ˈk u p a s
kupi	k u ˈp i
kupi	ˈk u p i ʔ
kupi	k u ˈp i ʔ
Kupido	ˈk u p i d o
kuping	k u ˈp i ŋ
kuping	ˈk u p i ŋ
kupit	ˈk u p i t
kupo	ˈk u p o ʔ
kupo	ˈk u p o
kupon	k u ˈp o n
kupong	ˈk u p o ŋ
kupya	k u p ˈj a ʔ
kupya	ˈk u p j a
kura	ˈk u ɾ a
kura	ˈk u ɾ a ʔ
kurag	ˈk u ɾ a ɡ
kurakot	k u ˈɾ a k o t
kural	k u ˈɾ a l
kurap	k u ˈɾ a p
kurarap	k u ˈɾ a ɾ a p
kurason	k u ɾ a ˈs o n
kurasunin	k u ɾ a s u ˈn i n
kurba	k u ɾ ˈb a
kurbada	k u ɾ ˈb a d a
kurbata	k u ɾ ˈb a t a
kurikong	k u ɾ i ˈk o ŋ
kurikulum	k u ˈɾ i k u l u m
kuripot	k u ˈɾ i p o t
Kurisma	k u ˈɾ i s m a
kurita	k u ˈɾ i t a
Kurita	k u ˈɾ i t a
kuro	ˈk u ɾ o ʔ
kuros	k u ˈɾ o s
kurot	k u ˈɾ o t
kurse	k u ɾ ˈs e
kursilista	k u ɾ s i ˈl i s t a
kursilyista	k u ɾ s i l ˈj i s t a
kursilyo	k u ɾ ˈs i l j o
kurso	ˈk u ɾ s o
kurso	k u ɾ ˈs o
kursonada	k u ɾ s o ˈn a d a
kursunada	k u ɾ s u ˈn a d a
kurtina	k u ɾ ˈt i n a
kurukya	k u ɾ u k ˈj a ʔ
kurus	k u ˈɾ u s
kuryente	k u ɾ ˈj e n t e
kuryosidad	k u ɾ j o s i ˈd a d
kuryusidad	k u ɾ j u s i ˈd a d
kusa	ˈk u s a ʔ
kusi	k u ˈs i
kusilba	k u s i l ˈb a
kusim	k u ˈs i m
kusin	k u ˈs i n
kusina	k u ˈs i n a
kusina	k u ˈs i n a ʔ
kusinera	k u s i ˈn e ɾ a
kusinero	k u s i ˈn e ɾ o
kusinilya	k u s i ˈn i l j a
kusing	k u ˈs i ŋ
kuskos	k u s ˈk o s
kuskusin	k u s k u ˈs i n
kusot	ˈk u s o t
kusot	k u ˈs o t
kustable	k u s ˈt a b l e
kustabularyo	k u s t a b u ˈl a ɾ j o
kustal	k u s ˈt a l
kustodiya	k u s t o ˈd i a
kustodiya	k u s ˈt o d i a
kustodya	k u s ˈt o d j a
kustomer	ˈk u s t o m e ɾ
kuta	ˈk u t a ʔ
kuta	ˈk u t a
kuta	ˈk u t a
kutab	ˈk u t a b
kutab	k u ˈt a b
kutad	ˈk u t a d
kutad	k u ˈt a d
kutamaya	k u t a ˈm a j a
kuteho	k u ˈt e h o
kutiltil	k u t i l ˈt i l
kuting	k u ˈt i ŋ
kutipaw	k u t i ˈp a w
kutipyo	k u t i p ˈj o
kutis	ˈk u t i s
kutitap	k u ˈt i t a p
kutkot	k u t ˈk o t
kuto	ˈk u t o
kuto	k u ˈt o ʔ
kutob	k u ˈt o b
kutog	k u ˈt o ɡ
kuton	k u ˈt o n
kutong	ˈk u t o ŋ
kutong	ˈk o t o ŋ
kutos	k u ˈt o s
kutsaba	k u ˈt͡ʃ a b a
kutsabahan	k u t͡ʃ a b a ˈh a n
kutsada	k u ˈt͡ʃ a d a
kutsara	k u ˈt͡ʃ a ɾ a
kutsara	k u ˈt͡ʃ a ɾ a ʔ
kutsara	k u t ˈs a ɾ a
kutsarahin	k u t͡ʃ a ˈɾ a h i n
kutsarita	k u t͡ʃ a ˈɾ i t a
kutsaritahin	k u t͡ʃ a ɾ i ˈt a h i n
kutsaron	k u t͡ʃ a ˈɾ o n
kutsay	k u ˈt͡ʃ a j
kutsero	k u ˈt͡ʃ e ɾ o
kutsilyo	k u ˈt͡ʃ i l j o
kutsinta	k u t͡ʃ i n ˈt a ʔ
kutson	k u ˈt͡ʃ o n
kutsukutso	k u ˌt͡ʃ u k u ˈt͡ʃ o
kutya	k u t ˈj a ʔ
kutyog	ˈk u t j o ɡ
kuwa	k u ˈa ʔ
kuwaderno	k u a ˈd e ɾ n o
kuwadra	k u ˈa d ɾ a
kuwadra	k u a d ˈɾ a
kuwadrado	k u a d ˈɾ a d o
kuwadrilatero	k u a d ɾ i ˈl a t e ɾ o
kuwadrilya	k u a d ˈɾ i l j a
kuwadrilyon	k u a d ɾ i l ˈj o n
kuwadro	k u ˈa d ɾ o
kuwago	k u ˈa ɡ o
kuwaho	k u ˈa h o
kuwak	k u ˈa k
kuwako	k u ˈa k o
kuwalipikasyon	k u a l i p i k a s ˈj o n
kuwan	k u ˈa n
kuwapaw	k u ˈa p a w
kuwarenta	k u a ˈɾ e n t a
kuwarentena	k u a ɾ e n ˈt e n a
kuwarentenas	k u a ɾ e n ˈt e n a s
Kuwaresma	k u a ˈɾ e s m a
kuwarso	k u ˈa ɾ s o
kuwarta	k u ˈa ɾ t a
kuwartel	k u a ɾ ˈt e l
kuwarteto	k u a ɾ ˈt e t o
kuwarto	k u ˈa ɾ t o
kuwatro	k u ˈa t ɾ o
kuweba	k u ˈe b a
kuwekong	k u ˈe k o ŋ
kuwela	k u ˈe l a
kuwelyo	k u ˈe l j o
kuwenta	k u ˈe n t a
kuwento	k u ˈe n t o
Kuwerbo	k u ˈe ɾ b o
kuwerdas	k u ˈe ɾ d a s
kuwestiyon	k u e s t i ˈo n
kuwestiyonable	k u e s t i o ˈn a b l e
kuwidaw	k u i ˈd a w
kuwintas	k u i n ˈt a s
kuwit	k u ˈi t
kuwitib	k u ˈi t i b
kuwitis	k u ˈi t i s
kuya	ˈk u j a
Kuya	ˈk u j a
kuyakoy	k u ˈj a k o j
kuyaw	ˈk u j a w
kuyo	ˈk u j o
kuyog	ˈk u j o ɡ
kuyom	k u ˈj o m
kuyom	ˈk u j o m
kuys	ˈk u j s
kuyugin	k u ˈj u ɡ i n
kuyukot	k u j u ˈk o t
kuyumad	k u j u ˈm a d
kuyumpit	k u j u m ˈp i t
kwenta	ˈk w e n t a
Kwok	ˈk w o k
Kyoko	ˈk j o k o
kyu	ˈk j u
Kyusi	ˈk j u s i
kyut	ˈk j u t
kyutiks	ˈk j u t i k s
l	ʔ e l
l	l a
l	ˈʔ e l e
l	l
L	ʔ e l
L	l a
L	ˈʔ e l e
L	l
la	l a
laab	l a ˈb a
laan	l a ˈʔ a n
laang	ˈl a ʔ a ŋ
laas	l a ˈʔ a s
laas	ˈl a ʔ a s
laba	l a ˈb a
laba	ˈl a b a
laba	l a ˈb a ʔ
laba	ˈl a b a ʔ
lababo	l a ˈb a b o
labada	l a ˈb a d a
labadora	l a b a ˈd o ɾ a
labag	l a ˈb a ɡ
labaha	l a ˈb a h a
labahan	ˌl a ˈb a h a n
labahan	l a b a ˈh a n
labahin	ˌl a ˈb a h i n
labak	l a ˈb a k
labakara	l a b a ˈk a ɾ a
laban	ˈl a b a n
labandera	l a b a n ˈd e ɾ a
labanderiya	l a ˌb a n d e ˈɾ i a
labandero	l a b a n ˈd e ɾ o
labanos	l a b a ˈn o s
labas	l a ˈb a s
labas	ˈl a b a s
labasan	ˌl a ˈb a s a n
labasan	l a b a ˈs a n
labaskaphay	l a b a s k a p ˈh a j
Labastida	l a b a s ˈt i d a
labatiba	l a b a ˈt i b a
labaw	ˈl a b a w
labawliknayan	l a b a w l i k ˈn a j a n
labawsugnayan	l a b a w s u ɡ ˈn a j a n
laberinto	l a b e ˈɾ i n t o
labhan	l a b ˈh a n
labi	ˈl a b i ʔ
labi	l a ˈb i ʔ
labi	l a ˈb i
labimpito	l a b i m p i ˈt o
labindalawa	l a ˌb i n d a l a ˈw a
labindalawa	l a b i n d a l a ˈw a
labinlima	l a ˌb i n l i ˈm a
labinlima	l a b i n l i ˈm a
labinsiyam	l a b i n s i ˈa m
labintador	l a b i n t a ˈd o ɾ
labintatlo	l a ˌb i n t a t ˈl o
labintatlo	l a b i n t a t ˈl o
labing	l a ˈb i ŋ
labing	ˈl a b i ŋ
labingwalo	l a b i ŋ w a ˈl o
labis	ˈl a b i s
lablab	l a b ˈl a b
labnaw	l a b ˈn a w
labnot	l a b ˈn o t
labo	ˈl a b o ʔ
labo	l a ˈb o ʔ
labo	l a ˈb o
labo	ˈl a b o
labon	l a ˈb o n
labon	ˈl a b o n
labong	l a ˈb o ŋ
laboratoryo	l a b o ɾ a ˈt o ɾ j o
laboy	ˈl a b o j
labso	l a b ˈs o ʔ
labtik	l a b ˈt i k
labuyo	l a ˈb u j o ʔ
Lacambra	l a ˈk a m b ɾ a
Lacandola	l a k a n ˈd o l a
Lacanilao	l a k a n i ˈl a w
Lacap	l a ˈk a p
Lacerna	l a ˈs e ɾ n a
Lacsamana	l a k s a ˈm a n a
Lacson	ˈl a k s o n
ladlad	l a d ˈl a d
ladrilyo	l a d ˈɾ i l j o
ladya	l a d ˈj a ʔ
ladya	ˈl a d j a
Ladya	l a d ˈj a ʔ
Ladya	ˈl a d j a
laga	ˈl a ɡ a ʔ
lagabag	l a ɡ a ˈb a ɡ
lagablab	l a ɡ a b ˈl a b
lagabog	l a ɡ a ˈb o ɡ
lagak	l a ˈɡ a k
lagaklak	l a ɡ a k ˈl a k
lagalag	l a ɡ a ˈl a ɡ
lagalag	l a ˈɡ a l a ɡ
laganap	l a ˈɡ a n a p
laganas	l a ɡ a ˈn a s
lagap	l a ˈɡ a p
lagapak	l a ɡ a ˈp a k
lagari	l a ˈɡ a ɾ i ʔ
lagari	l a ˈɡ a ɾ e ʔ
lagari	l a ɡ a ˈɾ i ʔ
lagari	l a ɡ a ˈɾ e ʔ
lagas	l a ˈɡ a s
lagas	ˈl a ɡ a s
lagasaw	l a ɡ a ˈs a w
lagaslas	l a ɡ a s ˈl a s
lagay	l a ˈɡ a j
lagayan	ˌl a ˈɡ a j a n
lagayan	l a ɡ a ˈj a n
lagaylay	l a ɡ a j ˈl a j
lagda	l a ɡ ˈd a ʔ
lagdaan	l a ɡ d a ˈʔ a n
Lagdameo	l a ɡ d a ˈm e o
lagi	ˈl a ɡ i ʔ
lagi	ˈl a ɡ i
lagi	ˈl a ɡ e
lagibas	l a ɡ i ˈb a s
lagikway	l a ɡ i k ˈw a j
lagim	l a ˈɡ i m
laginit	l a ɡ i ˈn i t
lagis	l a ˈɡ i s
lagislis	l a ɡ i s ˈl i s
lagitik	l a ɡ i ˈt i k
lagitlit	l a ɡ i t ˈl i t
lagkit	l a ɡ ˈk i t
laglag	l a ɡ ˈl a ɡ
lagmak	l a ɡ ˈm a k
Lagman	l a ɡ ˈm a n
Lagmay	l a ɡ ˈm a j
lagnat	l a ɡ ˈn a t
lagnatin	l a ɡ n a ˈt i n
lagnatin	ˌl a ɡ ˈn a t i n
lago	l a ˈɡ o ʔ
lago	ˈl a ɡ o
lago	ˈl a ɡ o
lagod	ˈl a ɡ o d
lagod	l a ˈɡ o d
lagok	l a ˈɡ o k
lagom	ˈl a ɡ o m
lagong	ˈl a ɡ o ŋ
lagos	l a ˈɡ o s
lagot	l a ˈɡ o t
lagpak	l a ɡ ˈp a k
lagpas	l a ɡ ˈp a s
lagsang	l a ɡ ˈs a ŋ
lagumba	l a ɡ u m ˈb a
lagumlalangin	l a ɡ u m l a ˈl a ŋ i n
lagumlalangin	l a ɡ u m l a l a ˈŋ i n
Laguna	l a ˈɡ u n a
Lagunda	l a ˈɡ u n d a
Lagunday	l a ɡ u n ˈd a j
lagundi	l a ɡ u n ˈd i ʔ
lagusan	ˌl a ˈɡ u s a n
lagusan	l a ɡ u ˈs a n
laguslos	l a ɡ u s ˈl o s
lagutok	l a ɡ u ˈt o k
laguyo	l a ˈɡ u j o ʔ
lagwat	l a ɡ ˈw a t
lagwerta	l a ɡ ˈw e ɾ t a
lagyan	l a ɡ ˈj a n
lagyo	l a ɡ ˈj o ʔ
lahad	ˈl a h a d
lahad	l a ˈh a d
lahar	l a ˈh a ɾ
lahar	ˈl a h a ɾ
lahar	l a ˈh a ɾ
lahat	l a ˈh a t
lahi	ˈl a h i ʔ
lahid	ˈl a h i d
laho	ˈl a h o ʔ
laho	ˈl a h o
lahok	l a ˈh o k
lahoy	ˈl a h o j
lain	ˈl a ʔ i n
laing	ˈl a ʔ i ŋ
laing	l a ˈʔ i ŋ
lait	ˈl a ʔ i t
laitin	l a ˈʔ i t i n
lakad	ˈl a k a d
lakad	l a ˈk a d
lakambini	l a k a m ˈb i n i
Lakambini	l a k a m ˈb i n i
lakan	l a ˈk a n
Lakan	l a ˈk a n
lakandiwa	l a k a n ˈd i w a ʔ
lakansugo	l a k a n ˈs u ɡ o ʔ
lakas	l a ˈk a s
lakatan	l a k a ˈt a n
lakaya	l a ˈk a j a
lakbay	l a k ˈb a j
lakdang	l a k ˈd a ŋ
lakdaw	l a k ˈd a w
lakdawkaphay	l a k d a w k a p ˈh a j
lakdawyugto	l a k d a w j u ɡ ˈt o ʔ
lakhan	l a k ˈh a n
laki	l a ˈk i
laki	l a ˈk e
lakihan	l a k i ˈh a n
lakip	ˈl a k i p
lakip	l a ˈk i p
lakit	ˈl a k i t
laklak	l a k ˈl a k
lako	ˈl a k o ʔ
lako	l a ˈk o
lakre	ˈl a k ɾ e
laksa	l a k ˈs a ʔ
laksa	l a k ˈs a
laksa	ˈl a k s a
laksa	l a k ˈs a ʔ
laksamana	l a k s a ˈm a n a
laksante	l a k ˈs a n t e
laksatiba	l a k s a ˈt i b a
laktaw	l a k ˈt a w
laktosa	l a k ˈt o s a
lakwatsa	l a k ˈw a t͡ʃ a
lakwatsera	l a k w a ˈt͡ʃ e ɾ a
lakwatsero	l a k w a ˈt͡ʃ e ɾ o
lala	l a ˈl a ʔ
lala	ˈl a l a
lala	l a ˈl a
lala	ˈl a l a ʔ
lala	ˈl a l a ʔ
lala	l a ˈl a
lala	l a ˈl a ʔ
lalab	ˈl a l a b
lalaban	l a ˈl a b a n
lalabas	l a l a ˈb a s
lalad	l a ˈl a d
lalagukan	l a l a ˈɡ u k a n
lalagukan	l a l a ɡ u ˈk a n
lalagyan	l a l a ɡ ˈj a n
lalagyan	ˌl a l a ɡ ˈj a n
lalaki	l a ˈl a k i
lalaki	l a ˈl a k e
lalaki	l a l a ˈk i
lalaki	l a l a ˈk e
lalamunan	l a l a ˈm u n a n
Lalamunan	l a l a ˈm u n a n
lalan	l a ˈl a n
lalang	l a ˈl a ŋ
lalanghutan	l a l a ŋ ˈh u t a n
lalanghutan	l a l a ŋ h u ˈt a n
lalawigan	l a l a ˈw i ɡ a n
lalay	l a ˈl a j
lali	ˈl a l i
lalik	ˈl a l i k
lalim	ˈl a l i m
lalin	ˈl a l i n
lalo	ˈl a l o ʔ
Lam	ˈl a m
lamad	ˈl a m a d
laman	l a ˈm a n
lamang	ˈl a m a ŋ
lamang	l a ˈm a ŋ
lamas	ˈl a m a s
lamas	l a ˈm a s
lamas	l a ˈm a s
lamasin	l a ˈm a s i n
lamat	ˈl a m a t
lamay	ˈl a m a j
lamba	l a m ˈb a ʔ
lamba	l a m ˈb a
lambak	l a m ˈb a k
lambal	l a m ˈb a l
lambanog	l a m b a ˈn o ɡ
lambanog	l a m ˈb a n o ɡ
lambanog	l a m b a ˈn o ɡ
lambang	l a m ˈb a ŋ
lambat	l a m ˈb a t
lambayog	l a m ˈb a j o ɡ
lambi	l a m ˈb i ʔ
lambing	l a m ˈb i ŋ
lambitin	l a m ˈb i t i n
lambo	l a m ˈb o
lambo	l a m ˈb o ʔ
lambot	l a m ˈb o t
lambutsi	l a m ˈb u t͡ʃ i
lambutsing	l a m b u ˈt͡ʃ i ŋ
lambutsingan	ˌl a m b u ˈt͡ʃ i ŋ a n
lamesa	l a ˈm e s a
lamesita	l a m e ˈs i t a
lamig	l a ˈm i ɡ
lamig	l a ˈm e ɡ
lamira	l a m i ˈɾ a ʔ
lamira	l a ˈm i ɾ a ʔ
lamo	ˈl a m o ʔ
lamod	ˈl a m o d
lamog	l a ˈm o ɡ
lamok	l a ˈm o k
lamok	l a ˈm o k
lamon	ˈl a m o n
lamos	ˈl a m o s
lampa	l a m ˈp a
lampara	ˈl a m p a ɾ a
lampas	l a m ˈp a s
lampaso	l a m ˈp a s o
lampik	l a m ˈp i k
lampin	l a m ˈp i n
lampong	l a m ˈp o ŋ
lamuga	l a ˈm u ɡ a ʔ
lamukos	l a ˈm u k o s
lamukos	l a m u ˈk o s
lamuymoy	l a m u j ˈm o j
lamyerda	l a m ˈj e ɾ d a
lana	ˈl a n a
lanab	ˈl a n a b
Lanao	ˈl a n a w
Lanao	l a ˈn a w
lanap	l a ˈn a p
lanap	ˈl a n a p
lanaw	ˈl a n a w
lanaw	l a ˈn a w
lanay	l a ˈn a j
lanay	ˈl a n a j
lanay	l a ˈn a j
landa	l a n ˈd a
landang	l a n ˈd a ŋ
landas	l a n ˈd a s
landas	ˈl a n d a s
landas	l a n ˈd a s
landi	l a n ˈd i ʔ
Landicho	l a n ˈd i t͡ʃ o
landit	l a n ˈd i t
Landrito	l a n ˈd ɾ i t o
lanip	ˈl a n i p
lanip	l a ˈn i p
lanlan	l a n ˈl a n
lanog	ˈl a n o ɡ
lansa	l a n ˈs a
lansa	ˈl a n s a
lansang	l a n ˈs a ŋ
lansangan	l a n ˈs a ŋ a n
Lansangan	l a n ˈs a ŋ a n
lansina	l a n ˈs i n a ʔ
lansones	l a n ˈs o n e s
lansong	l a n ˈs o ŋ
lansungan	l a n ˈs u ŋ a n
lanta	l a n ˈt a
lantad	l a n ˈt a d
lantak	l a n ˈt a k
lantaka	l a n ˈt a k a ʔ
lantana	l a n ˈt a n a ʔ
lantay	l a n ˈt a j
Lantican	l a n ˈt i k a n
lanting	l a n ˈt i ŋ
Lanting	l a n ˈt i ŋ
lantod	l a n ˈt o d
lantong	l a n ˈt o ŋ
lantot	l a n ˈt o t
lantsa	ˈl a n t͡ʃ a
lantutay	l a n ˈt u t a j
lanubo	l a ˈn u b o ʔ
lanunab	l a ˈn u n a b
Lanuza	l a ˈn u z a
Lanuza	l a ˈn u s a
lang	ˈl a ŋ
langal	l a ˈŋ a l
langaray	l a ˈŋ a ɾ a j
langasngas	l a ŋ a s ˈŋ a s
langaw	ˈl a ŋ a w
langawin	l a ˈŋ a w i n
langayak	l a ŋ a ˈj a k
langgam	l a ŋ ˈɡ a m
Langgam	ˈl a ŋ ɡ a m
langgas	l a ŋ ˈɡ a s
langgonisa	l a ŋ ɡ o ˈn i s a
langgotse	l a ŋ ˈɡ o t͡ʃ e
langhap	l a ŋ ˈh a p
langhapan	l a ŋ ˈh a p a n
langib	l a ˈŋ i b
langil	ˈl a ŋ i l
langis	l a ˈŋ i s
langit	ˈl a ŋ i t
langitngit	l a ŋ i t ˈŋ i t
langka	l a ŋ ˈk a ʔ
langkaan	l a ŋ ˈk a ʔ a n
langkal	l a ŋ ˈk a l
langkap	l a ŋ ˈk a p
langkas	l a ŋ ˈk a s
langkaw	l a ŋ ˈk a w
langkay	l a ŋ ˈk a j
langkayan	l a ŋ ˈk a j a n
Langkiwa	l a ŋ ˈk i w a ʔ
langlang	l a ŋ ˈl a ŋ
lango	l a ˈŋ o
langoy	l a ˈŋ o j
langyot	l a ŋ ˈj o t
Lao	ˈl a w
Laoag	l a ˈw a ɡ
laog	l a ˈʔ o ɡ
laon	ˈl a ʔ o n
laon	l a ˈʔ o n
Laos	ˈl a ʔ o s
laos	l a ˈʔ o s
laot	ˈl a ʔ o t
lapa	ˈl a p a ʔ
lapa	l a ˈp a ʔ
lapaan	ˌl a ˈp a ʔ a n
lapaan	l a p a ˈʔ a n
lapad	ˈl a p a d
lapad	l a ˈp a d
lapag	l a ˈp a ɡ
lapain	l a ˈp a ʔ i n
lapas	l a ˈp a s
lapastangan	l a p a s ˈt a ŋ a n
lapastanganin	l a p a s t a ˈŋ a n i n
lapat	ˈl a p a t
lapat	l a ˈp a t
lapay	l a ˈp a j
lapay	ˈl a p a j
Lapeña	l a ˈp e ɲ a
lapi	ˈl a p i ʔ
lapida	ˈl a p i d a
lapig	ˈl a p i ɡ
laping	l a ˈp i ŋ
lapirot	l a ˈp i ɾ o t
lapirot	l a p i ˈɾ o t
lapis	ˈl a p i s
lapisa	l a p i ˈs a ʔ
lapit	ˈl a p i t
lapit	ˈl a p e t
lapit	l a ˈp i t
